Category,Grade,YearMonth,forecast_qty
Sneakers,Gently Used,2023-10-01,335365.94511469355
Sneakers,New,2023-10-01,95416.2929878712
Sneakers,Worn,2023-10-01,41511.8390454769
Boots,Gently Used,2023-11-01,172890.27647585186
Boots,New,2023-11-01,43262.559004555485
Boots,Worn,2023-11-01,34659.44634905817
Coats,Gently Used,2023-11-01,108793.05838453023
Coats,New,2023-11-01,33052.6882862702
Coats,Worn,2023-11-01,13850.670436022212
Shirts,Gently Used,2023-11-01,91035.66548096156
Shirts,New,2023-11-01,21080.946069553007
Shirts,Worn,2023-11-01,14634.876882627199
Sneakers,Gently Used,2023-11-01,315746.2885956188
Sneakers,New,2023-11-01,78238.63598900856
Sneakers,Worn,2023-11-01,38206.63532003599
Boots,Gently Used,2023-12-01,177514.8644215819
Boots,New,2023-12-01,47987.26134662915
Boots,Worn,2023-12-01,28138.154527612667
Coats,Gently Used,2023-12-01,112803.14465507661
Coats,New,2023-12-01,41807.562786354705
Coats,Worn,2023-12-01,16648.9573095705
Shirts,Gently Used,2023-12-01,119645.71017806072
Shirts,New,2023-12-01,28162.487145817628
Shirts,Worn,2023-12-01,23331.764963498594
Sneakers,Gently Used,2023-12-01,401637.16778150416
Sneakers,New,2023-12-01,117553.80421967055
Sneakers,Worn,2023-12-01,59386.26895280251
