YearMonth,Partner,Category,Grade,alloc_qty,min_q,max_q,ei_per_unit_used,est_total_ei
2023-01-01,Company A,Boots,Gently Used,6384.468333261022,5470.0,56885.0,2.5666513317633317,16386.70415016522
2023-01-01,Company B,Boots,Gently Used,4070.017949330734,1847.0,59278.0,2.586826524600565,10528.430386929142
2023-01-01,Company C,Boots,Gently Used,47593.603669656615,116695.0,276985.0,12.38784736932633,589582.2980159157
2023-01-01,Company D,Boots,Gently Used,3749.911791578234,1832.0,50362.0,3.4480468153271664,12929.871410709118
2023-01-01,Company E,Boots,Gently Used,35998.5490853331,78622.0,248694.0,12.066910882111866,434391.28369804414
2023-01-01,Company F,Boots,Gently Used,35622.339902143896,75219.0,228372.0,6.573207353767814,234153.0266031889
2023-01-01,Company G,Boots,Gently Used,2680.893285140758,1117.0,28673.0,3.4099403532369377,9141.68619572341
2023-01-01,Company H,Boots,Gently Used,20171.319927167842,20343.0,168510.0,5.515012205879336,111245.07560702773
2023-01-01,Company I,Boots,Gently Used,14161.971888908547,7180.0,135906.0,0.8746599198982701,12386.909197954303
2023-01-01,Company J,Boots,Gently Used,12902.674385672364,16876.0,101775.0,3.8078465768472096,49131.404491656685
2023-01-01,Company K,Boots,Gently Used,11222.978391626235,12741.0,81297.0,8.902908238047944,99917.14677824327
2023-01-01,Company L,Boots,Gently Used,10336.785223218052,12041.0,105839.0,15.8618245395487,163960.2735136845
2023-01-01,Everything Else,Boots,Gently Used,3314.228412093247,479.0,36047.0,2.2007849443885195,7293.903991599487
2023-02-01,Company A,Boots,Gently Used,5819.921946472039,5470.0,56885.0,2.5666513317633317,14937.7104146711
2023-02-01,Company B,Boots,Gently Used,3710.126755965325,1847.0,59278.0,2.586826524600565,9597.45430196135
2023-02-01,Company C,Boots,Gently Used,43657.84865341289,116695.0,276985.0,12.38784736932633,540826.7655916279
2023-02-01,Company D,Boots,Gently Used,3418.325973901919,1832.0,50362.0,3.4480468153271664,11786.547988062646
2023-02-01,Company E,Boots,Gently Used,32815.37865438349,78622.0,248694.0,12.066910882111866,395980.24978520157
2023-02-01,Company F,Boots,Gently Used,32472.43575492535,75219.0,228372.0,6.573207353767814,213448.05349902823
2023-02-01,Company G,Boots,Gently Used,2443.835391125014,1117.0,28673.0,3.4099403532369377,8333.33291686576
2023-02-01,Company H,Boots,Gently Used,18387.671675312435,20343.0,168510.0,5.515012205879336,101408.23372704982
2023-02-01,Company I,Boots,Gently Used,12909.700025010556,7180.0,135906.0,0.8746599198982701,11291.597189786427
2023-02-01,Company J,Boots,Gently Used,11761.755859003826,16876.0,101775.0,3.8078465768472096,44786.96178542033
2023-02-01,Company K,Boots,Gently Used,10230.586923883264,12741.0,81297.0,8.902908238047944,91081.97660470588
2023-02-01,Company L,Boots,Gently Used,9422.755355080099,12041.0,105839.0,15.8618245395487,149462.09212137343
2023-02-01,Everything Else,Boots,Gently Used,3021.1678818540818,479.0,36047.0,2.2007849443885195,6648.940788854617
2023-03-01,Company A,Boots,Gently Used,5053.153559455902,5470.0,56885.0,2.5666513317633317,12969.68331298211
2023-03-01,Company B,Boots,Gently Used,3221.321590799591,1847.0,59278.0,2.586826524600565,8333.00013534887
2023-03-01,Company C,Boots,Gently Used,37905.97457323482,116695.0,276985.0,12.38784736932633,469573.4273987977
2023-03-01,Company D,Boots,Gently Used,2967.9652444263297,1832.0,50362.0,3.4480468153271664,10233.683109045922
2023-03-01,Company E,Boots,Gently Used,28491.988204895042,78622.0,248694.0,12.066910882111866,343810.2825226509
2023-03-01,Company F,Boots,Gently Used,28194.227659474414,75219.0,228372.0,6.573207353767814,185326.50458506114
2023-03-01,Company G,Boots,Gently Used,2121.8627361271606,1117.0,28673.0,3.4099403532369377,7235.425367949745
2023-03-01,Company H,Boots,Gently Used,15965.11592952476,20343.0,168510.0,5.515012205879336,88047.80921960768
2023-03-01,Company I,Boots,Gently Used,11208.8610866052,7180.0,135906.0,0.8746599198982701,9803.94154016094
2023-03-01,Company J,Boots,Gently Used,10212.157316028024,16876.0,101775.0,3.8078465768472096,38886.3282780625
2023-03-01,Company K,Boots,Gently Used,8882.718222893282,12741.0,81297.0,8.902908238047944,79082.02524285519
2023-03-01,Company L,Boots,Gently Used,8181.31758472612,12041.0,105839.0,15.8618245395487,129770.62403125006
2023-03-01,Everything Else,Boots,Gently Used,2623.1322990781878,479.0,36047.0,2.2007849443885195,5772.950070950518
2023-04-01,Company A,Boots,Gently Used,4639.297802911873,5470.0,56885.0,2.5666513317633317,11907.459884290458
2023-04-01,Company B,Boots,Gently Used,2957.493771528742,1847.0,59278.0,2.586826524600565,7650.523334531513
2023-04-01,Company C,Boots,Gently Used,34801.456651908484,116695.0,276985.0,12.38784736932633,431115.1332340688
2023-04-01,Company D,Boots,Gently Used,2724.887434267578,1832.0,50362.0,3.4480468153271664,9395.539439851336
2023-04-01,Company E,Boots,Gently Used,26158.480387402546,78622.0,248694.0,12.066910882111866,315652.0516462576
2023-04-01,Company F,Boots,Gently Used,25885.10657678902,75219.0,228372.0,6.573207353767814,170148.17290361322
2023-04-01,Company G,Boots,Gently Used,1948.0811366546438,1117.0,28673.0,3.4099403532369377,6642.8404792583515
2023-04-01,Company H,Boots,Gently Used,14657.565099417387,20343.0,168510.0,5.515012205879336,80836.65043175785
2023-04-01,Company I,Boots,Gently Used,10290.849862443352,7180.0,135906.0,0.8746599198982701,9000.993916369825
2023-04-01,Company J,Boots,Gently Used,9375.776619846194,16876.0,101775.0,3.8078465768472096,35701.51890716543
